productidnew_bi_strs,formatcode_bi_txtm,issnnum_en_strs,issnnum_fr_strs
23-011-X,8,1705-1223,1705-1223
23-012-X,8,1705-1320,1705-1320
23-012-X,17,1705-1320,1705-1320
23-013-X,17,1705-4273,1705-4273
23-013-X,8,1705-4273,1705-4273
23-014-X,17,1705-9917,1705-9917
23-014-X,8,1705-9917,1705-9917
23-015-X,17,1710-3525,1710-3525
23-015-X,8,1710-3525,1710-3525
23-202-X,8,1480-7572,1480-7572
23-202-X,12,0068-7189,0068-7189
23-203-X,12,0068-7154,0068-7154
23-207-X,12,0318-787X,0318-787X
23-208-X,12,0318-7888,0318-7888
23-221-X,17,1481-6229,1481-6229
23-221-X,8,1481-6229,1481-6229
23-222-X,8,1703-4531,1703-4531
23-222-X,17,1703-4531,1703-4531
23-501-X,8,0-662-33380-2,0-662-33380-2
23-603-U,12,0-660-14953-2,0-660-14953-2
23-603-X,12,0-660-14953-2,0-660-14953-2
23-603-X,8,1703-1478,1703-1478
23F0001X,3,1499-3066,1499-3066
25-001-X,8,1481-4560,1481-4560
25-001-X,12,0575-9536,0575-9536
25-002-X,8,1481-529X,1481-529X
25-002-X,12,0713-6196,0713-6196
25-201-X,8,1492-1014,1492-1014
25-201-X,12,0834-440X,0834-440X
25-202-X,12,0575-805X,0575-805X
26-006-X,12,1488-4771,1488-4771
26-201-X,8,1481-7403,1481-7403
26-201-X,12,0575-8645,0575-8645
26-202-X,17,1481-5176,1481-5176
26-202-X,8,1481-5176,1481-5176
26-202-X,12,0380-7797,0380-7797
26-206-X,12,1481-4404,1481-4404
26-206-X,8,1492-3017,1492-3017
26-213-X,17,1703-4930,1703-4930
26-213-X,8,1703-4930,1703-4930
26-213-X,12,1481-4218,1481-4218
26-223-X,8,1708-6299,1708-6299
26-223-X,12,0226-4595,0226-4595
26-224-X,12,0226-4609,0226-4609
26-224-X,8,1481-5192,1481-5192
26-225-X,12,0226-4617,0226-4617
26-225-X,8,1481-5206,1481-5206
26-226-X,8,1492-532X,1492-532X
31-001-X,12,0840-8238,0840-8238
31-001-X,17,1496-2306,1496-2306
31-001-X,8,1496-2306,1496-2306
31-003-X,12,1192-1641,1192-1641
31-203-X,8,1708-6124,1708-6124
31-203-X,12,0382-4144,0382-4144
31-203-X,17,1708-6124,1708-6124
31-209-X,12,0382-4012,0382-4012
31-211-S,12,0575-9455,0575-9455
31-211-X,12,0575-9455,0575-9455
31-211-X,3,1480-6363,1480-6363
31-212-X,12,0576-0186,0576-0186
31-212-X,8,1492-109X,1492-109X
31-530-X,12,0838-0988,0838-0988
31-533-X,17,0-662-38321-4,0-662-38321-4
31-533-X,8,0-662-38320-6,0-662-38320-6
31F0002X,12,1206-7830,1206-7830
31F0027M,8,1707-5475,1707-5475
32-001-X,12,0527-575X,0527-575X
32-004-X,12,0227-1737,0227-1737
32-006-X,12,0527-5911,0527-5911
32-006-X,8,1481-4579,1481-4579
32-011-X,12,0702-6528,0702-6528
32-013-X,8,1481-5214,1481-5214
32-013-X,12,0380-8378,0380-8378
32-024-X,12,0705-551X,0705-551X
32-025-X,12,0709-2768,0709-2768
32-026-X,12,0227-1761,0227-1761
32-217-X,12,0527-6268,0527-6268
32-229-X,12,1206-4718,1206-4718
32-229-X,8,1480-8749,1480-8749
32-230-X,8,1480-7513,1480-7513
32-230-X,12,1206-4726,1206-4726
32-233-X,12,1180-5900,1180-5900
32-234-X,12,1180-5919,1180-5919
32-235-X,12,1180-5927,1180-5927
32-236-X,12,1180-5935,1180-5935
32-237-X,12,1180-5943,1180-5943
32-238-X,12,1180-5951,1180-5951
32-239-X,12,1180-596X,1180-596X
32-240-X,12,1180-5978,1180-5978
32-241-X,12,1180-5986,1180-5986
32-242-X,12,1203-6528,1203-6528
32-250-X,12,0835-0000,0835-0000
32-251-X,12,0835-0019,0835-0019
32-251-X,8,1701-1426,1701-1426
32-509-X,12,0-660-12602-8,0-660-12602-8
33-002-X,8,1481-5230,1481-5230
33-002-X,12,0380-707X,0380-707X
33-250-X,12,0835-0027,0835-0027
33-250-X,8,1481-9724,1481-9724
33-251-X,12,0828-9859,0828-9859
33-251-X,8,1701-1388,1701-1388
34-250-X,8,1481-9740,1481-9740
34-250-X,12,0835-0043,0835-0043
34-251-X,8,1481-9767,1481-9767
34-251-X,12,0319-891X,0319-891X
34-252-X,12,0835-006X,0835-006X
34-252-X,8,1481-9783,1481-9783
