extras_productidnew_bi_strs,issnnum_en_bi_strs,issnnum_fr_bi_strs
81-258-X,0225-3682,0225-3682
82-575-X,1710-8381,1710-8381
82-583-X,1923-4309,1923-4309
82-602-X,0-660-54223-4,0-660-54223-4
87-205-X,1181-666X,1181-666X
82M0011X,1710-9116,1710-9116
83-237-X,1718-8849,1718-8849
88-002-X,0843-753X,0843-753X
84-544-X,0-660-52872-X,0-660-52872-X
84F0001X,1491-6673,1491-6673
84F0210X,1710-5285,1710-5285
87-208-X,1181-6643,1181-6643
87-210-X,1181-6635,1181-6635
88-003-X,1488-433X,1488-433X
88-003-X,1488-433X,1488-433X
88-202-X,1495-706X,1495-706X
88-202-X,1495-706X,1495-706X
64-001-X,1480-7475,1480-7475
71-605-X,0-660-54894-1,0-660-54894-1
71F0004X,1480-5502,1480-5502
71F0031X,1712-8102,1712-8102
75-006-X,2291-0840,2291-0840
64-201-X,0527-4974,0527-4974
64-205-X,0835-104X,0835-104X
64-206-X,0835-1058,0835-1058
81-581-X,0-662-62683-4,0-662-62683-4
75-201-X,1201-5725,1201-5725
85-402-X,1703-2644,1703-2644
85-403-X,1703-3225,1703-3225
71M0017X,0-660-61938-5,0-660-61938-5
72-002-X,1496-0583,1496-0583
82-606-X,0-660-53448-7,0-660-53448-7
75-202-R,1492-1480,1492-1480
75F0002M,1707-2840,1707-2840
81-582-G,1927-6257,1927-6257
84F0210X,1710-5285,1710-5285
84F0212X,1708-9115,1708-9115
85-404-X,1715-3670,1715-3670
85-510-X,0-660-60618-6,0-660-60618-6
85-511-X,0-660-17289-5,0-660-17289-5
82-609-X,0-660-54201-3,0-660-54201-3
87-403-X,1488-3090,1488-3090
83-237-X,1718-8849,1718-8849
83-241-X,1195-4035,1195-4035
84F0213X,1916-372X,1916-372X
85-002-X,0715-271X,0715-271X
87-212-X,1488-173X,1488-173X
15F0015X,1201-7582,1201-7582
21F0001X,1920-1230,1920-1230
85-002-X,1209-6393,1209-6393
85-005-X,1925-3427,1925-3427
81-258-S,0225-3704,0225-3704
95-201-X,0-660-59336-X,0-660-59336-X
35-002-X,0380-464X,0380-464X
35-006SX,1206-341X,1206-341X
41-011-X,0835-5797,0835-5797
43-005-X,0380-7061,0380-7061
44-250-X,0835-0167,0835-0167
95-327-X,0-660-57200-1,0-660-57200-1
95-346-X,0-660-57219-2,0-660-57219-2
82-576-X,1496-6123,1496-6123
82-623-X,1920-6550,1920-6550
15F0026X,1201-107X,1201-107X
16-001-M,1917-9693,1917-9693
83-244-X,1195-4213,1195-4213
83-245-X,1195-4027,1195-4027
22-202-X,1204-0835,1204-0835
82-223-X,1708-7856,1708-7856
82-223-X,1708-7856,1708-7856
82-224-X,1712-4077,1712-4077
82-226-X,1715-8141,1715-8141
13F0026M,1707-0783,1707-0783
16-253-X,1715-958X,1715-958X
85-217-X,1481-1626,1481-1626
85-223-X,1481-5400,1481-5400
85-224-X,1480-7165,1480-7165
93-304-X,0-660-57286-9,0-660-57286-9
84-532-X,0-660-52236-5,0-660-52236-5
26-202-X,1481-5176,1481-5176
31-001-X,1496-2306,1496-2306
47-006-X,0713-9098,0713-9098
81-586-X,0-662-29799-7,0-662-29799-7
67-002-X,1488-4860,1488-4860
82-220-X,1195-4086,1195-4086
23-008-X,0828-3095,0828-3095
23-014-X,1705-9917,1705-9917
51-207-X,0828-8208,0828-8208
95-365-X,0-660-57238-9,0-660-57238-9
82-607-X,0-660-53449-5,0-660-53449-5
84-211-X,1195-4132,1195-4132
84-213-X,1195-4159,1195-4159
82-226-X,1715-8141,1715-8141
82-230-X,1920-8464,1920-8464
93-313-X,0-660-57290-7,0-660-57290-7
16-403-X,1920-6283,1920-6283
16F0006X,1701-6282,1701-6282
82-402-X,1708-0746,1708-0746
85-227-X,1715-2240,1715-2240
93-331-X,0-660-57142-0,0-660-57142-0
65-506-X,1702-739X,1702-739X
65-507-M,1712-1345,1712-1345
65-508-X,1717-9416,1717-9416
65F0013X,1920-9592,1920-9592
65F0020X,0-662-28347-3,0-662-28347-3
53-219-X,1480-8676,1480-8676
82-618-M,1713-8833,1713-8833
82-620-M,1716-6713,1716-6713
81-590-X,1712-5472,1712-5472
81-595-M,1711-831X,1711-831X
66-201-X,1704-8249,1704-8249
81-595-M,1711-831X,1711-831X
81-599-X,1709-8653,1709-8653
82-623-X,1920-6550,1920-6550
82-625-X,1920-9118,1920-9118
81F0002X,0-660-58902-8,0-660-58902-8
85-225-X,1488-867X,1488-867X
85-228-X,1708-0436,1708-0436
82-402-X,1708-0746,1708-0746
82-545-X,0-660-11707-X,0-660-11707-X
15-510-X,0-660-53419-3,0-660-53419-3
15-516-M,1205-5336,1205-5336
21-004-X,1481-899X,1481-899X
21-020-X,1705-2920,1705-2920
21-022-X,1918-0527,1918-0527
85-510-X,0-660-18282-3,0-660-18282-3
75M0009X,0-660-60613-5,0-660-60613-5
81-003-X,1195-2261,1195-2261
81-600-X,1919-8507,1919-8507
67-002-X,1183-4315,1183-4315
67-202-X,0318-8868,0318-8868
57-001-X,1488-5670,1488-5670
92F0174X,0-662-34367-0,0-662-34367-0
92F0193G,1710-2707,1710-2707
81-208-X,0703-9328,0703-9328
81-222-X,0832-6657,0832-6657
95-315-X,0-660-57188-9,0-660-57188-9
95-321-X,0-660-57194-3,0-660-57194-3
83-237-X,1201-7337,1201-7337
83-239-X,1195-4043,1195-4043
83-242-X,1195-4183,1195-4183
21-522-X,0835-6246,0835-6246
82-214-X,1927-775X,1927-775X
82-216-X,1201-7329,1201-7329
82-217-X,1195-4019,1195-4019
82-219-X,1195-4078,1195-4078
82-220-X,1195-4086,1195-4086
71F0031X,1712-8102,1712-8102
87-517-X,0-660-54221-8,0-660-54221-8
72-208-X,0835-233X,0835-233X
82-003-S,1708-7678,1708-7678
64-210-X,0835-1090,0835-1090
71F0004X,1480-5502,1480-5502
87-509-X,0-660-51865-1,0-660-51865-1
82-219-X,1195-4078,1195-4078
82-228-X,1918-9311,1918-9311
88F0006X,1921-300X,1921-300X
65-202-X,1181-6767,1181-6767
65-507-M,1712-1345,1712-1345
85-226-X,1492-8590,1492-8590
87F0005X,1708-8763,1708-8763
85-402-X,1209-7209,1209-7209
85-542-X,0-660-16969-X,0-660-16969-X
91-002-X,0835-4057,0835-4057
89-613-M,1710-2944,1710-2944
81-261-X,0840-7150,0840-7150
82-231-X,1715-8168,1715-8168
92-131-G,0-662-36287-X,0-662-36287-X
65F0021X,1492-7284,1492-7284
85-555-X,0-660-18760-4,0-660-18760-4
82-546-X,0-660-52855-X,0-660-52855-X
82-566-X,0-660-58922-2,0-660-58922-2
82-573-G,0-662-29354-1,0-662-29354-1
67-001-X,0847-074X,0847-074X
67F0001M,1709-8157,1709-8157
89-524-M,0-660-14542-1,0-660-14542-1
81-590-X,1712-5464,1712-5464
68-213-X,1492-1502,1492-1502
26-213-X,1703-4930,1703-4930
88-221-X,1916-2561,1916-2561
82-603-X,0-660-53445-2,0-660-53445-2
82-621-X,1717-7790,1717-7790
